Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
17,Thales Oleques,Operário PR,Operário PR,RB,RB,1,30,600000,2025-12-31,14,1302,Brazil,"Brazil, Portugal",right,175,74,no,6.77,3.597115,1.59219,2.97304,7.047404,10.09217,1.38,0.414,0.21,0.07,0.83,0.07,0.05,0.76,4.219221999999999,0.41,1.04,1.312298,BRA2,Testing,2024,0.6642892657028869,0.6407155459975743,0.6525024058502307
18,Raí Ramos,Ceará,Ceará,"RB, RW",RB,1,30,500000,2025-12-31,22,1276,Brazil,Brazil,right,179,78,yes,6.07,3.8118,0.8469630000000001,1.480875,4.159676000000001,5.218630000000001,2.05,1.127252,0.78,0.706702,1.27,0.14,0.06,0.49,1.972374,0.35,0.71,1.059741,BRA2,Testing,2024,0.2740237646203693,0.3083307195394406,0.291177242079905
19,Zeca,Mirassol,Mirassol,LB,LB,1,30,500000,2025-12-31,19,1820,Brazil,Brazil,right,170,68,no,6.59,3.009765,0.364716,3.582,6.801519,11.832756,1.35,1.089891,0.21,0.729028,2.13,0.21,0.09,0.83,4.93116,0.21,0.52,0.93223,BRA2,Testing,2024,0.6449673747339684,0.6489927105711067,0.6469800426525376
20,Jean Victor,Botafogo SP,Botafogo SP,"LB, LWB",LB,1,30,50000,2024-12-05,29,1964,Brazil,Brazil,left,181,72,no,8.29,4.630608000000001,1.236357,1.512665,4.310097,7.559125,1.15,1.146785,0.55,0.365696,0.78,0.23,0.1,0.87,2.977,0.23,0.6,0.6424080000000001,BRA2,Testing,2024,0.2244660205321154,0.2461207917011508,0.2352934061166331
21,Rafael Ramos,Ceará,Ceará,RB,RB,1,29,500000,2024-12-31,24,2306,Portugal,Portugal,right,168,70,yes,8.55,5.267963000000001,1.208617,1.949475,6.675,7.494689999999999,1.95,0.9376000000000001,0.31,0.467594,1.13,0.12,0.11,1.17,3.904922,0.39,1.13,1.44438,BRA2,Testing,2024,0.5654717680914265,0.5945638821064266,0.5800178250989265
22,Willian Formiga,CRB,CRB,LB,LB,1,29,200000,2024-12-31,22,1459,Brazil,Brazil,left,185,86,no,9.13,4.503515999999999,3.085326,1.790976,5.551241999999999,7.528756,1.42,2.22,0.86,0.615,1.6,0.37,0.05,0.25,3.951575999999999,0.49,0.43,0.6776000000000001,BRA2,Testing,2024,0.4108146900885472,0.4414976693298684,0.4261561797092078
23,Rodrigo Ferreira,Santos,Santos,"RB, LB",RB,1,29,600000,2025-12-31,20,843,Brazil,Brazil,right,178,80,no,10.78,5.233814000000001,1.70688,1.06875,5.873733,12.275879,2.35,1.173312,0.85,0.53125,1.17,0.11,0.04,0.75,2.986464,0.21,1.39,1.494796,BRA2,Testing,2024,0.6769722826166965,0.654905901293581,0.6659390919551387
24,Edílson,Paysandu,Paysandu,RB,RB,1,29,100000,2024-11-30,27,2391,Brazil,Brazil,right,171,74,no,7.68,4.6297,0.600964,1.693235,7.417904999999999,9.677394,2.97,2.410044,0.98,1.315643,2.45,0.56,0.09,0.87,4.437758,0.87,1.43,1.95585,BRA2,Testing,2024,0.8670170820802893,0.8864892995548534,0.8767531908175714
25,Lucas Hipólito,Operário PR,Operário PR,LB,LB,1,29,100000,2024-12-31,11,888,Brazil,Brazil,left,172,72,no,8.61,4.35708,2.333925,1.925625,6.687632,9.219576,1.11,1.317384,0.41,0.404,1.32,0.2,0.0,0.2,3.345507,1.11,0.51,1.422024,BRA2,Testing,2024,0.579187967331209,0.5873922216135696,0.5832900944723893
26,Pará,Operário PR,Operário PR,LB,LB,1,29,100000,2024-12-31,23,1827,Brazil,Brazil,left,167,70,no,9.12,4.406496000000001,0.8613839999999999,3.292555000000001,6.430716,10.538125,2.68,1.77346,0.41,1.061606,1.92,0.25,0.07,1.27,3.340253,0.25,1.27,1.42,BRA2,Testing,2024,0.7036060117203817,0.7206872981358295,0.7121466549281057
