Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
40,0.309833,0.275398,0.258026,0.704533,0.471273,0.603853,0.121692,0.260733,0.481013,0.671849,0.685379,David Braz,Goiás,Goiás,"CB, LCB",CB,4,37,150000,2024-12-31,21,1744,Brazil,Brazil,right,188,88,no,BRA2,Testing,2024,Zagueiro Construtor,0.685,41,74,44,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,52.0,47,60,13,39,21,51,19.0,20.0,13,29,36,18,82,47,71,31,74,72,82
41,0.573284,0.501032,0.594426,0.140002,0.417046,0.244835,0.172593,0.125478,0.367089,0.363778,0.679635,Wanderson,CRB,CRB,"LCB, RCB",LCB,4,33,250000,2024-12-31,11,723,Brazil,Brazil,right,186,83,no,BRA2,Testing,2024,Zagueiro Construtor,0.68,42,74,43,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,25.0,22,14,69,47,65,41,44.0,35.0,52,66,70,81,6,36,12,44,40,52,29
42,0.011132,0.019193,0.537344,0.453992,0.689454,0.585794,0.097299,0.076312,1.0,0.554839,0.668109,Alemão,Operário PR,Operário PR,RCB,RCB,4,33,100000,2024-12-31,14,1215,Brazil,Brazil,right,186,76,no,BRA2,Testing,2024,Zagueiro Construtor,0.668,43,74,41,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,73.0,72,23,41,14,26,56,58.5,1.5,29,1,2,68,44,81,64,24,20,97,60
43,0.619666,0.59238,0.229115,0.55246,0.36126,0.437443,0.062138,0.071224,0.139241,0.349062,0.667956,Joílson,Ponte Preta,Ponte Preta,"RCB, LCB",RCB,4,33,0,2024-12-31,15,1417,Brazil,Brazil,right,188,78,yes,BRA2,Testing,2024,Zagueiro Construtor,0.668,44,74,40,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,21.0,12,65,27,54,38,70,62.0,60.5,56,71,83,12,63,27,48,5,16,18,24
44,0.209647,0.146209,0.593589,0.198888,0.789898,0.388489,0.076159,0.081399,0.405063,0.380717,0.66131,Lucão,América Mineiro,América Mineiro,LCB,LCB,4,28,400000,2025-12-31,12,1126,Brazil,Brazil,right,187,80,no,BRA2,Testing,2024,Zagueiro Construtor,0.661,45,74,39,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,62.0,64,15,63,5,46,64,56.0,28.5,50,16,13,79,14,93,37,13,24,61,32
45,0.443414,0.339165,0.424864,0.321932,0.584177,0.407007,0.237921,0.152624,0.375527,0.460207,0.658597,Lucas Adell,Guarani,Guarani,LCB,LCB,4,24,0,,13,1209,Brazil,Brazil,left,188,70,no,BRA2,Testing,2024,Zagueiro Construtor,0.659,46,74,37,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,36.0,40,35,53,25,43,26,39.0,34.0,40,51,45,52,28,66,41,64,47,54,45
46,0.751391,0.477282,0.278309,0.482865,0.26058,0.355613,0.277029,0.260478,0.135021,0.350278,0.657585,Lucas Dias,Muharraq,Botafogo SP,"CB, RCB",CB,4,29,0,2024-12-05,15,1386,Brazil,Brazil,right,191,82,no,BRA2,Testing,2024,Zagueiro Construtor,0.658,47,74,36,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,14.5,24,57,36,61,53,17,20.0,62.0,55,80,67,22,51,17,28,77,72,16,25
47,0.0,0.012205,0.625862,0.510076,0.342184,0.356362,0.136033,0.244198,0.0,0.366393,0.654652,Ramon Menezes,Ceará,Ceará,"RCB, LCB",RCB,4,29,400000,2025-12-31,15,1129,Brazil,Brazil,right,186,81,no,BRA2,Testing,2024,Zagueiro Construtor,0.655,48,74,35,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,74.0,73,11,32,55,52,49,24.0,74.0,51,0,1,85,56,25,29,33,67,0,31
48,0.239332,0.091807,0.355909,0.453042,0.634713,0.645045,0.091123,0.0,0.670886,0.849323,0.652545,Rafael Thyere,Sport Recife,Sport Recife,RCB,RCB,4,31,600000,2025-12-31,19,1922,Brazil,Brazil,right,189,86,no,BRA2,Testing,2024,Zagueiro Construtor,0.653,49,74,33,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,60.0,69,47,42,17,18,59,71.5,8.0,4,18,6,36,43,77,75,20,3,89,94
49,0.328386,0.296485,0.202596,0.289585,0.771352,0.598161,0.502681,0.23333,0.582278,0.590513,0.635939,Wallace,Brusque,Brusque,LCB,LCB,4,36,100000,2024-12-31,32,3130,Brazil,Brazil,right,186,76,no,BRA2,Testing,2024,Zagueiro Construtor,0.636,50,74,32,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,49.0,45,70,56,6,23,8,25.0,11.0,23,33,39,5,24,91,68,89,66,85,68
50,0.200371,0.140956,0.130074,0.93443,0.568204,0.679133,0.077455,0.071217,0.451477,0.554088,0.624928,A. Alvariño,Amazonas,Amazonas,"RCB, LCB",RCB,4,23,350000,2025-12-31,27,2597,Argentina,Argentina,right,182,81,yes,BRA2,Testing,2024,Zagueiro Construtor,0.625,51,74,31,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,65.5,66,71,4,27,14,62,63.0,21.5,30,11,10,4,94,63,81,16,14,70,59
51,0.430427,0.626393,0.371838,0.212898,0.296047,0.31506,0.606737,0.480257,1.0,0.322762,0.614036,Allan Godói,Operário PR,Operário PR,RCB,RCB,4,31,100000,2024-11-15,9,760,Brazil,Brazil,right,187,81,no,BRA2,Testing,2024,Zagueiro Construtor,0.614,52,74,29,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,38.0,10,45,62,60,58,3,7.0,1.5,57,48,86,39,16,18,21,95,90,97,22
52,0.858998,0.717033,0.402678,0.14036,0.205794,0.181101,0.201567,0.210292,0.527426,0.122584,0.611302,Guilherme Mariano,Ituano,Ituano,RCB,RCB,4,24,0,,17,1724,Brazil,Brazil,,0,0,yes,BRA2,Testing,2024,Zagueiro Construtor,0.611,53,74,28,0.472121,0.379349,0.435384,0.477433,0.478591,0.476305,0.222126,0.208823,0.363382,0.485257,9.5,5,41,68,67,69,34,27.5,18.0,71,87,93,44,8,9,6,54,62,75,4
