Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
37,Kleiton,CRB,CRB,"RAMF, RW, RWF",RAMF,10,25,250000,2025-12-31,18,1044,Brazil,Brazil,right,182,76,yes,0.43125,3.10596,1.721463,5.605488,2.24046,0.06,0.345697,7.143,0.1,0.78,0.09,0.09,0.34,BRA2,Testing,2024,0.3685894905115882,0.3682740068972364,0.3565745990544044
38,Diego Mathias,Brusque,Brusque,"RW, RAMF, RCMF",RW,10,25,0,2026-06-30,25,1762,Brazil,Brazil,left,182,73,no,1.839908,4.95729,3.981944,3.778935,2.143815,0.08,0.510867,5.405,0.15,1.23,0.102852,0.256641,0.36,BRA2,Testing,2024,0.5322269843682648,0.5839192380478726,0.5497763147113811
39,Paulo Vitor,Portimonense,Grêmio Novorizontino,"RW, CF, RB",RW,10,25,400000,2028-06-30,14,1110,Brazil,Brazil,right,168,75,no,0.486,1.7028,2.352352,4.863108,3.082752,0.11,0.48569,0.0,0.23,1.54,0.08,0.079992,1.14,BRA2,Testing,2024,0.4603489266299077,0.4964604909039819,0.4686122066704528
40,Paulo Baya,Goiás,Goiás,"LW, LAMF",LW,10,25,250000,2024-12-31,29,1845,Brazil,Brazil,right,185,77,yes,1.288162,3.063312,3.11355,3.659399999999999,2.27254,0.16,0.7420829999999999,7.143,0.14,1.29,0.05,0.099995,0.4,BRA2,Testing,2024,0.4242095592235509,0.4455006009862632,0.4242449712601518
41,Matheus Régis,Ponte Preta,Ponte Preta,"RAMF, RW",RAMF,10,25,400000,2026-01-30,27,1653,Brazil,Brazil,right,181,72,yes,0.3885,2.825484,1.3875,5.205236999999999,2.825772,0.23,0.887245,3.636,0.07,0.83,0.0,0.05501100000000001,0.22,BRA2,Testing,2024,0.3956867445991121,0.3783003646880468,0.375484886904028
42,Adyson,América Mineiro,América Mineiro,"RAMF, RW, RWF",RAMF,10,19,0,,27,1613,Brazil,Brazil,left,168,60,no,2.121555,6.360317999999999,7.925375,4.966936,3.013059,0.18,0.6708419999999999,4.545,0.21,1.73,0.1125,0.3889,0.61,BRA2,Testing,2024,1.0,1.0,1.0
43,Lucas Ronier,Coritiba U20,Coritiba,"RAMF, RW, CF",RAMF,10,19,0,,31,2787,Brazil,Brazil,left,165,60,no,1.13047,7.360525,4.486064,6.135028,2.968881,0.22,0.8721110000000002,8.108,0.12,1.13,0.2275,0.1944,0.55,BRA2,Testing,2024,0.7096671451994909,0.8339994155888257,0.7675496468613328
44,Rodriguinho,América Mineiro,América Mineiro,"LW, LAMF",LW,10,21,0,,13,935,Brazil,Brazil,right,170,65,no,1.446,4.812054,4.044560000000001,2.887731,1.445,0.23,0.8682159999999999,23.529,0.25,1.54,0.0,0.0,0.77,BRA2,Testing,2024,0.4332232466372677,0.4485857694940011,0.4304079720176121
45,Pedro Lucas,Operário PR,Operário PR,"RW, RAMF, RCMF",RW,10,22,1200000,2025-12-31,15,818,Brazil,Brazil,left,173,67,no,0.770022,6.379824,3.740011,1.210055,0.329967,0.05,0.220044,0.0,0.03,0.55,0.0,0.0,0.22,BRA2,Testing,2024,0.2030466830459955,0.1961278482231246,0.1845602063204255
46,Figueiredo,Coritiba,Coritiba,"LAMF, LW, CF",LAMF,10,23,2500000,2026-12-31,30,1511,Brazil,Brazil,right,178,70,yes,1.0724,4.763196,3.0396,4.646024,2.385762,0.13,0.8954080000000001,3.125,0.07,0.83,0.237131,0.237865,0.18,BRA2,Testing,2024,0.4090640573501365,0.5124047947033348,0.4506101795995576
47,Chrystian Barletta,Sport Recife,Sport Recife,"LW, RW, RAMF",LW,10,23,1200000,2028-12-31,28,2117,Brazil,Brazil,left,178,70,no,0.34,4.295915,2.849481,3.612483,1.828504,0.18,0.59711,23.529,0.07,0.85,0.0425,0.045,0.17,BRA2,Testing,2024,0.2939187667189074,0.3037077116669591,0.2856490620221551
48,Dodô,Ponte Preta,Ponte Preta,"LWF, LW, AMF",LWF,11,23,0,,29,1840,Brazil,Brazil,right,171,68,yes,1.120404,5.239521,3.001625,5.09,1.681398,0.2,0.609939,16.667,0.1,0.86,0.3085559999999999,0.25625,0.2,BRA2,Testing,2024,0.4587964929672895,0.4894820770027001,0.4642667032328212
49,Reinaldo,Guarani,Guarani,"LW, RW",LW,10,23,400000,2026-06-30,23,865,Brazil,Brazil,right,178,73,no,0.6225,1.873125,2.188867,3.745884,1.977644,0.07,0.416,0.0,0.16,0.83,0.0,0.0,0.31,BRA2,Testing,2024,0.2564800879456015,0.2399238977010991,0.2340876331173568
50,Emerson Urso,Vila Nova,Vila Nova,"LW, RW, LAMF",LW,10,23,250000,2025-12-31,20,811,Brazil,Brazil,right,169,67,yes,0.555,4.107744,2.105922,6.213328000000002,2.550389,0.16,0.554211,25.0,0.09,1.0,0.0,0.0,0.11,BRA2,Testing,2024,0.4301770950163146,0.4394937497815036,0.4242249444976643
51,Juan Christian,Alanyaspor,Vila Nova,"RW, RAMF, LW",RW,10,23,0,,18,1273,Brazil,Brazil,right,177,73,no,0.775224,2.755383,2.401688,4.737385,3.112551,0.13,0.635757,3.226,0.07,0.49,0.14,0.07,0.14,BRA2,Testing,2024,0.4188767137404688,0.4490642529832667,0.4233437669755831
52,Enio,Amazonas,Amazonas,"RW, LW, RAMF",RW,10,23,200000,2025-12-31,33,2606,Brazil,Brazil,right,168,64,no,0.8315690000000001,5.90212,3.938740999999999,6.596486,3.4188,0.11,0.447408,5.882,0.17,1.76,0.241118,0.273347,0.35,BRA2,Testing,2024,0.7739280952338562,0.8571276337349747,0.8120645591130992
53,Vinícius Pavia,Ituano,Ituano,"LAMF, LW, LWF",LAMF,10,23,700000,2024-12-31,30,2423,Brazil,Brazil,right,174,65,yes,0.522345,3.080892,2.15436,3.453006,1.8585,0.16,0.483874,13.889,0.13,0.85,0.187515,0.149985,0.48,BRA2,Testing,2024,0.2458710613949968,0.2804232207921418,0.2493133636670334
54,Erick Pulga,Ceará,Ceará,"LW, LAMF, LWF",LW,10,24,1000000,2025-12-31,31,3089,Brazil,Brazil,right,169,70,no,0.696626,3.668940000000001,2.447331,5.242673999999999,3.030258,0.26,0.7858739999999999,14.103,0.1,0.96,0.029997,0.029997,0.61,BRA2,Testing,2024,0.4719624482562801,0.48063478466388,0.4664665742954988
55,E. Garcia,Paysandu,Paysandu,"LAMF, LW, LWF",LAMF,10,24,300000,2024-12-31,27,1592,Venezuela,Venezuela,right,160,54,no,1.017948,4.18418,3.222219,4.295648,2.432224,0.14,0.79339,20.0,0.07,0.73,0.112,0.17144,0.28,BRA2,Testing,2024,0.4491564401413083,0.4752134650658138,0.4520879385628392
56,Welliton Matheus,Goiás,Goiás,"RW, RAMF, RWF",RW,10,24,0,2024-12-31,33,2470,Brazil,Brazil,left,180,73,yes,0.560892,3.610683,2.477035,8.3076,4.398384,0.16,0.5999399999999999,6.818,0.1,0.83,0.1125,0.1125,0.34,BRA2,Testing,2024,0.7039208019122439,0.7621254183714066,0.7280108491080444
57,Léo Pereira,CRB,CRB,"LW, LAMF, LWF",LW,10,24,1200000,2026-12-31,31,2825,Brazil,Brazil,right,172,73,no,0.5731769999999999,1.97459,2.104941,4.58592,2.642748,0.15,0.6700959999999999,5.882,0.09,0.76,0.0,0.0,0.29,BRA2,Testing,2024,0.3258281543843756,0.3411285082431042,0.3209649613741113
58,Negueba,Mirassol,Mirassol,"RW, RAMF, RWF",RW,10,24,450000,2025-12-31,24,1798,Brazil,Brazil,right,171,62,no,0.509534,3.369726,2.248848,2.858239999999999,1.379133,0.12,0.562597,5.714,0.08,0.77,0.104,0.155,0.15,BRA2,Testing,2024,0.1753246047902105,0.2050625867471869,0.1749901783980377
59,Fabinho,América Mineiro,América Mineiro,"LAMF, LWF, RAMF",LAMF,10,24,1500000,2025-12-31,31,2017,Brazil,Brazil,left,180,75,no,0.7168000000000001,3.392319000000001,2.587248,2.899,1.563445,0.27,0.534492,13.636,0.12,0.98,0.089991,0.089991,0.45,BRA2,Testing,2024,0.2549970520423219,0.2656357440720482,0.246429475869597
