Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
35,Matheus Bueno,Guarani,Guarani,"LCMF, RCMF, LDMF",LCMF,8,26,350000,2025-06-30,33,3053,Brazil,Brazil,right,178,79,no,8.05,3.947544,3.50976,8.312441999999999,0.38,0.70915,1.21,0.03,0.07,0.85,8.692983,0.83,0.8558910000000001,BRA2,Testing,2024,1.0,1.0,1.0
36,Zé Gabriel,Coritiba,Coritiba,"RCMF, RDMF, LCMF",RCMF,8,25,1500000,2025-12-31,13,965,Brazil,Brazil,right,184,77,yes,7.55,2.8892,1.676898,4.290671000000001,0.37,0.749119,0.65,0.01,0.01,0.56,4.754628,0.0,0.0,BRA2,Testing,2024,0.2356356356869743,0.2604812398590698,0.2480584377730221
37,Geovane,Portimonense,Vila Nova,LCMF,LCMF,8,25,0,2027-06-30,12,818,Brazil,Brazil,left,175,71,no,7.59,3.739956,2.310132,5.82978,0.22,0.33,0.77,0.06,0.01,0.33,5.72,0.11,0.660033,BRA2,Testing,2024,0.542346795431821,0.532520419948007,0.537433607689914
38,S. Abdulai,Botafogo SP,Botafogo SP,"LCMF, RCMF",LCMF,8,25,200000,,12,1009,Ghana,Ghana,right,187,80,no,7.05,2.855472,1.4285,3.390912,0.18,0.983871,1.07,0.02,0.0,0.18,3.48,0.0,0.179982,BRA2,Testing,2024,0.06961325878917483,0.08575394259330488,0.07768360069123986
39,Rafael Carvalheira,Chapecoense,Chapecoense,"LCMF, RAMF, LDMF",LCMF,8,25,50000,2024-12-31,30,2613,Brazil,Brazil,left,176,72,no,6.68,3.13252,1.000878,2.718495,0.76,0.17,0.52,0.09,0.07,0.69,3.203354,0.24,0.34542,BRA2,Testing,2024,0.06947177454193577,0.09916994680036331,0.08432086067114955
40,Cauan Barros,Amazonas,Amazonas,"RCMF, LCMF, LDMF",RCMF,8,20,0,,23,1926,Brazil,Brazil,right,175,68,yes,9.72,4.252632,1.730238,4.20247,0.84,0.4213729999999999,0.56,0.13,0.04,0.37,5.185016000000001,0.33,0.28,BRA2,Testing,2024,0.475857190920607,0.4709459572796129,0.47340157410011
41,Miquéias,Ituano,Ituano,"RCMF, RDMF",RCMF,8,23,0,,33,2801,Brazil,Brazil,right,187,74,yes,6.46,2.829984,0.676715,4.468793000000001,0.87,0.35361,1.03,0.07,0.06,0.58,4.046577,0.35,0.51435,BRA2,Testing,2024,0.2625072543785809,0.2833029978192685,0.2729051260989247
42,Cristiano,Vila Nova,Vila Nova,"LCMF, RCMF, RDMF",LCMF,8,23,0,,31,2930,Brazil,Brazil,right,175,70,no,6.7,3.654742,3.8409,5.747112,0.15,0.8008,1.08,0.02,0.02,0.43,5.924732000000001,0.37,0.520848,BRA2,Testing,2024,0.577825776043408,0.5957046887848634,0.5867652324141357
43,Juninho,Goiás,Goiás,"LCMF, AMF",LCMF,8,23,1000000,2024-12-31,24,1577,Brazil,Brazil,right,174,70,no,7.9,5.067270000000001,0.725163,3.557216,1.45,2.292068,3.14,0.11,0.07,1.21,5.1858,1.45,0.844375,BRA2,Testing,2024,0.4979593364399214,0.5266687031604982,0.5123140198002099
44,Rodrigo Santos,Avaí,Avaí,"LCMF, RCMF",LCMF,8,24,0,,9,735,Brazil,Brazil,,0,0,yes,8.57,4.77594,1.3475,4.287696,1.1,1.101152,1.59,0.1,0.01,0.73,5.018973000000001,0.37,0.733785,BRA2,Testing,2024,0.5430703706099664,0.5236627720911248,0.5333665713505457
45,Patrick De Lucca,Ceará,Ceará,"RCMF, LDMF, LCMF",RCMF,8,24,1800000,2025-12-31,30,2461,Brazil,Brazil,right,180,75,yes,6.55,2.888849,2.48966,6.363342,0.48,0.220011,0.4,0.01,0.02,0.51,6.8778,0.29,0.44,BRA2,Testing,2024,0.6461202837973928,0.6138812397745339,0.6300007617859634
