Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Passes_ÁreaPênalti_Certos_Percentil
22,0.606959,0.660797,0.415314,0.301724,0.121626,0.190476,0.193548,0.332634,0.346591,0.262759,0.475488,Marcos Serrato,Brusque,Brusque,"LCMF, LW",LCMF,8,30,250000,2024-12-31,27,2221,Brazil,"Brazil, Italy",right,175,75,no,BRA2,Testing,2024,Segundo Volante Organizador,0.475,23,46,50,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,21,5,22,22.5,30,25.0,38.0,27,15.5,20,54,89,52,51,34,45,17,41,66,56
23,0.369845,0.212213,0.325455,0.75,0.379904,0.285714,0.209677,0.224649,0.5,0.336936,0.439172,Igor Henrique,Vila Nova,Vila Nova,"RCMF, AMF, CF",RCMF,8,32,200000,2025-12-31,23,1837,Brazil,Brazil,right,183,74,no,BRA2,Testing,2024,Segundo Volante Organizador,0.439,24,46,47,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,41,32,31,5.0,8,13.5,34.0,36,4.0,12,10,30,32,89,82,70,26,21,91,73
24,1.0,0.393855,0.426437,0.017241,0.148917,0.0,0.0,0.285685,0.119318,0.086549,0.423618,Judson,Avaí,Avaí,"RCMF, RDMF, DMF",RCMF,8,31,500000,2025-06-30,14,853,Brazil,Brazil,right,169,65,no,BRA2,Testing,2024,Segundo Volante Organizador,0.424,25,46,45,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,1,21,20,43.5,26,44.5,46.0,31,36.5,41,97,54,56,5,43,3,0,32,20,10
25,0.648196,0.223664,0.449141,0.12931,0.011555,0.190476,0.462366,0.316164,0.210227,0.150086,0.417054,Filipe Soutto,Botafogo SP,Botafogo SP,"LCMF, DMF",LCMF,8,33,50000,2024-12-10,19,730,Brazil,Brazil,left,178,70,no,BRA2,Testing,2024,Segundo Volante Organizador,0.417,26,46,43,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,16,29,18,36.5,45,25.0,9.0,29,26.0,36,65,36,60,20,2,45,80,36,43,21
26,0.45232,0.613624,0.468888,0.215517,0.161403,0.285714,0.333333,0.385771,0.034091,0.091453,0.413483,Geovane,Grêmio Novorizontino,Grêmio Novorizontino,"LCMF, RCMF",LCMF,8,35,300000,2024-12-15,24,1590,Brazil,Brazil,right,179,80,no,BRA2,Testing,2024,Segundo Volante Organizador,0.413,27,46,41,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,35,9,17,31.0,24,13.5,20.0,21,43.5,40,23,80,63,32,47,70,56,54,5,13
27,0.784794,0.698677,0.289583,0.008621,0.10723,0.47619,0.27957,0.394481,0.1875,0.2115,0.412428,Zé Ricardo,Avaí,Avaí,"RCMF, LCMF",RCMF,8,28,1000000,2024-12-31,24,1907,Brazil,Brazil,right,176,74,no,BRA2,Testing,2024,Segundo Volante Organizador,0.412,28,46,39,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,12,4,34,45.0,32,4.5,28.0,20,30.5,24,73,91,26,2,30,90,39,56,33,47
28,0.320876,0.196122,0.491973,0.017241,0.051824,0.095238,0.456989,0.632805,0.181818,0.171536,0.408257,Boschilia,Operário PR,Operário PR,"RCMF, AMF, LCMF",RCMF,8,28,800000,2024-12-31,13,926,Brazil,"Brazil, Italy",left,173,73,no,BRA2,Testing,2024,Segundo Volante Organizador,0.408,29,46,36,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,43,36,16,43.5,42,33.5,11.0,7,32.0,34,6,21,65,5,8,27,76,84,30,26
29,0.572165,0.323745,0.389429,0.12931,0.29704,0.047619,0.301075,0.385281,0.0,0.0,0.397301,Zé Gabriel,Coritiba,Coritiba,"RCMF, RDMF, LCMF",RCMF,8,25,1500000,2025-12-31,13,965,Brazil,Brazil,right,184,77,yes,BRA2,Testing,2024,Segundo Volante Organizador,0.397,30,46,34,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,26,25,26,36.5,14,39.0,26.0,22,45.5,46,43,45,43,20,69,15,43,52,1,0
30,0.70232,0.185214,0.319578,0.172414,0.344539,0.238095,0.365591,0.127899,0.119318,0.173073,0.386778,Eduardo,Grêmio Novorizontino,Grêmio Novorizontino,RCMF,RCMF,8,27,400000,2024-12-31,27,2114,Brazil,Brazil,right,178,76,no,BRA2,Testing,2024,Segundo Volante Organizador,0.387,31,46,32,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,15,37,32,33.0,10,19.0,17.5,42,36.5,33,67,19,30,28,78,58,61,8,20,28
31,0.386598,0.555513,0.37514,0.0,0.052558,0.095238,0.456989,0.342552,0.323864,0.230426,0.373796,Willian Farias,Grêmio Novorizontino,Grêmio Novorizontino,"LCMF, RCMF",LCMF,8,35,200000,2024-12-31,23,1266,Brazil,"Brazil, Italy",right,177,82,no,BRA2,Testing,2024,Segundo Volante Organizador,0.374,32,46,30,0.598218,0.373681,0.415018,0.336863,0.216695,0.228778,0.350164,0.38357,0.278039,0.257851,40,11,29,46.0,41,33.5,11.0,25,17.0,21,13,76,36,0,10,27,76,45,63,54
