Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
13,J. Jiménez,Amazonas,Amazonas,"LCMF, LDMF, RCMF",LCMF,8,31,100000,2024-12-31,22,1446,Paraguay,Paraguay,right,181,80,no,10.71,1.368864,5.350533,0.44,0.25,0.0,0.25,4.483736,0.06,0.126673,BRA2,Testing,2024,0.5069458938455625,0.4485888147621379,0.4777673543038502
14,Anderson Leite,Guarani,Guarani,"RCMF, RDMF, LW",RCMF,8,31,300000,2024-12-31,22,1013,Brazil,Brazil,right,183,79,no,10.75,1.867788,4.354,1.69,0.177134,0.05,0.53,4.706622,0.8,0.532879,BRA2,Testing,2024,0.5415170043892196,0.5437149102213268,0.5426159573052731
15,Rafael Gava,Goiás,Goiás,"LCMF, RCMF, RDMF",LCMF,8,31,600000,2024-12-31,27,1972,Brazil,Brazil,right,178,76,no,6.15,2.018652,5.099405999999999,1.2,0.097138,0.16,1.68,6.198980000000001,0.67,0.768096,BRA2,Testing,2024,0.6406196282178585,0.6584705274312448,0.6495450778245516
16,Judson,Avaí,Avaí,"RCMF, RDMF, DMF",RCMF,8,31,500000,2025-06-30,14,853,Brazil,Brazil,right,169,65,no,10.87,1.90125,4.53444,0.11,0.424,0.0,0.0,4.11654,0.21,0.213344,BRA2,Testing,2024,0.4130689173011641,0.4341667997637801,0.4236178585324721
17,Marcos Serrato,Brusque,Brusque,"LCMF, LW",LCMF,8,30,250000,2024-12-31,27,2221,Brazil,"Brazil, Italy",right,175,75,no,7.82,2.755458,4.461176,0.77,0.364099,0.04,0.36,4.417336,0.61,0.6476999999999999,BRA2,Testing,2024,0.4750288421138086,0.4759478576444512,0.4754883498791299
18,Dionísio,Brusque,Brusque,"RCMF, LCMF",RCMF,8,30,50000,2024-12-31,18,1073,Brazil,Brazil,right,172,68,no,6.71,1.339276,3.441152,0.67,0.7531829999999999,0.05,1.01,3.436755,0.42,0.67,BRA2,Testing,2024,0.3125013294878034,0.3084647083327902,0.3104830189102968
19,Matheus Barbosa,Botafogo SP,Botafogo SP,RCMF,RCMF,8,30,700000,2025-12-31,16,1184,Brazil,Brazil,right,184,75,no,7.6,2.05,5.324463,0.91,0.609246,0.04,0.61,6.839999999999999,0.68,0.835,BRA2,Testing,2024,0.6179081794651263,0.699712351475055,0.6588102654700907
20,Danielzinho,Mirassol,Mirassol,"RCMF, RDMF",RCMF,8,29,300000,2024-11-30,33,3242,Brazil,Brazil,right,167,65,no,7.24,1.887804,5.29759,1.0,0.429276,0.16,1.52,5.300202,0.83,1.089936,BRA2,Testing,2024,0.6477336844839721,0.6864457181118033,0.6670897012978877
21,Leandro Vilela,Paysandu,Paysandu,"RCMF, LCMF, RDMF",RCMF,8,29,250000,2024-11-30,21,1415,Brazil,Brazil,right,178,77,no,9.41,2.292302,5.661936,0.83,0.31815,0.05,0.51,5.597288,0.38,0.3808199999999999,BRA2,Testing,2024,0.6184323872852487,0.6157110075030499,0.6170716973941492
22,Willian Maranhão,Avaí,Avaí,"LCMF, LB, LDMF",LCMF,8,28,1000000,2025-12-31,28,2246,Brazil,Brazil,left,179,80,no,9.3,1.96581,3.48665,0.36,0.24,0.0,0.12,3.287421,0.16,0.199992,BRA2,Testing,2024,0.2576958387484117,0.2775424593516344,0.267619149050023
23,Erick Varão,Amazonas,Amazonas,"RCMF, RDMF, LCMF",RCMF,8,28,0,2024-12-31,18,1380,Brazil,Brazil,right,182,70,no,9.26,0.91256,2.411297,2.09,0.4573660000000001,0.06,0.59,2.286229,0.46,0.456621,BRA2,Testing,2024,0.2485933633529484,0.2716916524749822,0.2601425079139653
24,Matheus Trindade,Paysandu,Paysandu,"LCMF, LDMF, RDMF",LCMF,8,28,200000,2024-12-31,12,840,Brazil,Brazil,right,175,80,no,6.96,1.28738,3.32475,0.75,0.645,0.01,0.32,4.180800000000001,0.43,0.428,BRA2,Testing,2024,0.254029174739261,0.2632628102358445,0.2586459924875527
25,Boschilia,Operário PR,Operário PR,"RCMF, AMF, LCMF",RCMF,8,28,800000,2024-12-31,13,926,Brazil,"Brazil, Italy",left,173,73,no,5.6,1.268508,4.966121999999999,0.11,0.210888,0.02,0.85,6.340456000000001,0.32,0.422836,BRA2,Testing,2024,0.4105794006556235,0.4059350646144834,0.4082572326350534
26,Zé Ricardo,Avaí,Avaí,"RCMF, LCMF",RCMF,8,28,1000000,2024-12-31,24,1907,Brazil,Brazil,right,176,74,no,9.2,2.876673,3.633,0.09,0.3325,0.1,0.52,4.813574,0.33,0.521347,BRA2,Testing,2024,0.3817736168314587,0.4430820386698782,0.4124278277506684
27,S. Gómez,Coritiba,Coritiba,"LCMF, LDMF, RCMF",LCMF,8,28,1500000,2026-12-31,28,2394,Colombia,Colombia,left,172,72,no,9.44,1.0528,4.433654000000001,0.64,0.6374550000000001,0.04,0.9,5.642226000000001,0.34,0.45,BRA2,Testing,2024,0.5165563129051839,0.5085143162132282,0.512535314559206
28,Gustavo Bochecha,Botafogo SP,Botafogo SP,"LCMF, RCMF",LCMF,8,28,500000,2025-04-30,32,2056,Brazil,Brazil,left,173,73,no,6.57,2.32208,4.33104,1.18,0.5242279999999999,0.06,0.79,4.379595,0.61,0.8301299999999999,BRA2,Testing,2024,0.4959939832847691,0.4712773837467019,0.4836356835157355
29,Eduardo,Grêmio Novorizontino,Grêmio Novorizontino,RCMF,RCMF,8,27,400000,2024-12-31,27,2114,Brazil,Brazil,right,178,76,no,8.56,1.233604,3.83057,0.47,0.8533760000000001,0.05,0.68,3.105648,0.21,0.426624,BRA2,Testing,2024,0.3901165313260891,0.3834388682040996,0.3867776997650944
30,Gabriel Bispo,Guarani,Guarani,"RCMF, RDMF",RCMF,8,27,300000,2024-11-30,18,1445,Brazil,Brazil,right,177,77,no,10.84,1.308312,3.67732,0.69,0.246679,0.01,0.37,3.922146,0.25,0.311526,BRA2,Testing,2024,0.3434738576160223,0.3850704340766826,0.3642721458463525
31,Ramon,Ponte Preta,Ponte Preta,"LCMF, LDMF, LAMF",LCMF,8,27,300000,2024-12-31,21,1130,Brazil,Brazil,left,174,69,no,5.57,2.078448,6.408444,0.83,0.75,0.03,0.42,5.743212,0.67,1.0816,BRA2,Testing,2024,0.7855090771937994,0.724731144001244,0.7551201105975217
32,Everton Morelli,Coritiba,Coritiba,"RCMF, RDMF",RCMF,8,26,400000,2024-12-31,26,1776,Brazil,Brazil,right,185,73,yes,9.93,1.316958,3.241702,1.32,0.4543160000000001,0.04,0.35,3.853998000000001,0.2,0.4545,BRA2,Testing,2024,0.3288678839165931,0.3567908378207154,0.3428293608686542
33,F. Domínguez,Sport Recife,Sport Recife,"RCMF, AMF, RDMF",RCMF,8,26,600000,2024-12-31,29,2624,Uruguay,"Uruguay, Spain",right,177,69,yes,9.02,1.164126,2.914344,2.2,1.099206,0.05,0.45,2.535952,0.75,0.893403,BRA2,Testing,2024,0.3677870040648571,0.3685263362234359,0.3681566701441465
34,José Aldo,Ituano,Ituano,"LCMF, AMF",LCMF,8,26,50000,2025-11-30,26,2090,Brazil,Brazil,right,175,70,no,10.55,2.715948,5.341728,0.78,0.861504,0.06,0.99,5.165802,0.43,0.8175149999999999,BRA2,Testing,2024,0.700380928955437,0.6749535929067891,0.6876672609311131
35,Matheus Bueno,Guarani,Guarani,"LCMF, RCMF, LDMF",LCMF,8,26,350000,2025-06-30,33,3053,Brazil,Brazil,right,178,79,no,8.05,3.50976,8.312441999999999,0.38,0.70915,0.07,0.85,8.692983,0.83,0.8558910000000001,BRA2,Testing,2024,1.0,1.0,1.0
36,Zé Gabriel,Coritiba,Coritiba,"RCMF, RDMF, LCMF",RCMF,8,25,1500000,2025-12-31,13,965,Brazil,Brazil,right,184,77,yes,7.55,1.676898,4.290671000000001,0.37,0.749119,0.01,0.56,4.754628,0.0,0.0,BRA2,Testing,2024,0.4139220559417538,0.3806793116574348,0.3973006837995943
37,Geovane,Portimonense,Vila Nova,LCMF,LCMF,8,25,0,2027-06-30,12,818,Brazil,Brazil,left,175,71,no,7.59,2.310132,5.82978,0.22,0.33,0.01,0.33,5.72,0.11,0.660033,BRA2,Testing,2024,0.516570481966689,0.5189117962425462,0.5177411391046176
38,S. Abdulai,Botafogo SP,Botafogo SP,"LCMF, RCMF",LCMF,8,25,200000,,12,1009,Ghana,Ghana,right,187,80,no,7.05,1.4285,3.390912,0.18,0.983871,0.0,0.18,3.48,0.0,0.179982,BRA2,Testing,2024,0.16973783501434,0.1739406657941778,0.1718392504042589
39,Rafael Carvalheira,Chapecoense,Chapecoense,"LCMF, RAMF, LDMF",LCMF,8,25,50000,2024-12-31,30,2613,Brazil,Brazil,left,176,72,no,6.68,1.000878,2.718495,0.76,0.17,0.07,0.69,3.203354,0.24,0.34542,BRA2,Testing,2024,0.1174723254798748,0.1274204717290294,0.1224463986044521
40,Cauan Barros,Amazonas,Amazonas,"RCMF, LCMF, LDMF",RCMF,8,20,0,,23,1926,Brazil,Brazil,right,175,68,yes,9.72,1.730238,4.20247,0.84,0.4213729999999999,0.04,0.37,5.185016000000001,0.33,0.28,BRA2,Testing,2024,0.4918135502103262,0.4903269636178469,0.4910702569140866
41,Miquéias,Ituano,Ituano,"RCMF, RDMF",RCMF,8,23,0,,33,2801,Brazil,Brazil,right,187,74,yes,6.46,0.676715,4.468793000000001,0.87,0.35361,0.06,0.58,4.046577,0.35,0.51435,BRA2,Testing,2024,0.3407846578787755,0.3497080395119079,0.3452463486953418
42,Cristiano,Vila Nova,Vila Nova,"LCMF, RCMF, RDMF",LCMF,8,23,0,,31,2930,Brazil,Brazil,right,175,70,no,6.7,3.8409,5.747112,0.15,0.8008,0.02,0.43,5.924732000000001,0.37,0.520848,BRA2,Testing,2024,0.6609235675478017,0.6552042996680951,0.6580639336079483
43,Juninho,Goiás,Goiás,"LCMF, AMF",LCMF,8,23,1000000,2024-12-31,24,1577,Brazil,Brazil,right,174,70,no,7.9,0.725163,3.557216,1.45,2.292068,0.07,1.21,5.1858,1.45,0.844375,BRA2,Testing,2024,0.5166640098380288,0.5421930039052645,0.5294285068716467
44,Rodrigo Santos,Avaí,Avaí,"LCMF, RCMF",LCMF,8,24,0,,9,735,Brazil,Brazil,,0,0,yes,8.57,1.3475,4.287696,1.1,1.101152,0.01,0.73,5.018973000000001,0.37,0.733785,BRA2,Testing,2024,0.5095268260439686,0.4926238133168334,0.501075319680401
45,Patrick De Lucca,Ceará,Ceará,"RCMF, LDMF, LCMF",RCMF,8,24,1800000,2025-12-31,30,2461,Brazil,Brazil,right,180,75,yes,6.55,2.48966,6.363342,0.48,0.220011,0.02,0.51,6.8778,0.29,0.44,BRA2,Testing,2024,0.6469212514849201,0.6433126381126135,0.6451169447987668
