Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil
36,0.511719,0.509556,0.526132,0.494836,0.447053,0.234925,0.668734,Rodrigo Gelado,Coritiba,Coritiba,LB,LB,1,21,0,2025-08-30,21,1581,Brazil,Brazil,left,178,68,no,BRA2,Testing,2024,Lateral Defensivo,0.669,37,70,47,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,28.0,25,9,24,33,59,60,64,87,65,52,15
37,0.339844,0.414857,0.405483,0.472631,0.422091,0.444725,0.66658,Igor Inocêncio,Ponte Preta,Ponte Preta,"RB, LB",RB,1,26,300000,2024-11-30,27,2368,Brazil,Brazil,right,185,78,no,BRA2,Testing,2024,Lateral Defensivo,0.667,38,70,45,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,50.0,40,16,26,39,32,28,42,77,62,44,54
38,0.408854,0.529082,0.185311,0.503297,0.404455,0.61489,0.662298,Heitor,Guarani,Guarani,"RB, RW, LB",RB,1,23,1000000,2024-12-31,20,1002,Brazil,Brazil,right,174,67,no,BRA2,Testing,2024,Lateral Defensivo,0.662,39,70,44,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,41.0,23,46,23,44,14,41,67,34,67,37,80
39,0.765625,0.657619,0.170063,0.540931,0.42024,0.267108,0.634168,Luiz Felipe,Ponte Preta,Ponte Preta,RB,RB,1,26,100000,2025-04-11,10,816,Brazil,Brazil,right,180,76,no,BRA2,Testing,2024,Lateral Defensivo,0.634,40,70,42,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,4.0,13,50,19,40,53,94,81,28,72,42,24
40,0.666667,0.71702,0.369958,0.386158,0.280643,0.226219,0.626702,Natanael,Coritiba,Coritiba,RB,RB,1,22,2000000,2025-12-31,33,3208,Brazil,Brazil,right,172,67,no,BRA2,Testing,2024,Lateral Defensivo,0.627,41,70,41,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,14.5,8,20,33,56,60,79,88,71,52,20,14
41,0.566406,0.573098,0.622239,0.295853,0.271508,0.151458,0.611953,Mateus Pivô,Brusque,Brusque,"RB, RWB",RB,1,26,0,2025-06-30,26,2291,Brazil,Brazil,right,180,70,no,BRA2,Testing,2024,Lateral Defensivo,0.612,42,70,40,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,23.0,20,6,47,57,64,67,71,91,32,18,8
42,0.446615,0.634255,0.245945,0.383197,0.586031,0.288069,0.606592,Rafael Ramos,Ceará,Ceará,RB,RB,1,29,500000,2024-12-31,24,2306,Portugal,Portugal,right,168,70,yes,BRA2,Testing,2024,Lateral Defensivo,0.607,43,70,38,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,35.0,15,37,34,22,51,50,78,47,51,68,27
43,0.333333,0.502392,0.077424,0.318302,0.691194,0.479225,0.593929,Edílson,Paysandu,Paysandu,RB,RB,1,29,100000,2024-11-30,27,2391,Brazil,Brazil,right,171,74,no,BRA2,Testing,2024,Lateral Defensivo,0.594,44,70,37,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,52.0,27,65,44,12,30,25,61,7,37,82,57
44,0.705729,0.442778,0.66674,0.360253,0.097126,0.098798,0.588876,J. Torres,Brusque,Brusque,LB,LB,1,23,0,,10,806,Colombia,Colombia,left,186,79,yes,BRA2,Testing,2024,Lateral Defensivo,0.589,45,70,35,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,10.0,36,5,38,67,66,85,48,92,45,4,5
45,0.365885,0.473591,0.081837,0.291142,0.463708,0.487612,0.548229,Matheus Ribeiro,CRB,CRB,"RB, LB",RB,1,31,300000,2024-12-31,20,1022,Brazil,"Brazil, Italy",right,178,72,no,BRA2,Testing,2024,Lateral Defensivo,0.548,46,70,34,0.455097,0.454168,0.297061,0.421288,0.462063,0.423836,48.0,32,63,49,29,28,31,54,10,30,58,60
