Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Finalizações_NoAlvo,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
11,Ronaldo,Operário PR,Operário PR,CF,CF,12,33,350000,2024-12-31,16,944,Brazil,Brazil,right,185,80,no,2.034921,0.203313,0.0,0.27,0.71,7.143,0.3703703703703703,0.1901408450704226,0.02,0.41,0.41,0.1,0.408,BRA2,Testing,2024,0.3017636265188925,0.3306317359144234,0.3253085109616596
12,Henrique Almeida,Vila Nova,Vila Nova,CF,CF,12,33,300000,2024-12-31,31,1975,Brazil,Brazil,right,177,77,no,2.551976,0.363086,0.18,0.25,0.730334,15.385,1.08,0.1404494382022472,0.04,0.41,0.32,0.09,0.319515,BRA2,Testing,2024,0.645702822157774,0.641360816010394,0.6620743612577216
13,Robson,Coritiba,Coritiba,"CF, LW, LAMF",CF,12,33,900000,2024-12-31,20,1362,Brazil,Brazil,right,179,76,no,3.369976,1.452,0.46,0.32,0.859914,7.692,0.625,0.124031007751938,0.07,0.59,0.86,0.2,1.057672,BRA2,Testing,2024,0.7651535535627084,0.7997999296972629,0.8050228031475262
14,Aylon,Ceará,Ceará,"CF, RW",CF,12,32,350000,2024-12-31,32,2535,Brazil,Brazil,right,180,75,no,1.881875,0.355144,0.28,0.36,0.99603,14.754,0.888888888888889,0.1658986175115207,0.08,0.53,0.36,0.36,0.46,BRA2,Testing,2024,0.7173480904889264,0.7688685039838414,0.7645200076327665
15,Dellatorre,Mirassol,Mirassol,CF,CF,12,32,450000,2024-11-30,30,2480,Brazil,"Brazil, Italy",right,181,79,no,1.654109,0.49,0.04,0.45,1.128594,12.698,0.6444444444444444,0.189873417721519,0.03,0.41,0.38,0.15,0.411338,BRA2,Testing,2024,0.5752082391030652,0.623266430232639,0.6165035882089921
16,J. Recalde,Ceará,Ceará,"CF, AMF",CF,12,32,600000,2025-12-31,26,1210,Paraguay,Paraguay,right,178,83,no,2.603125,0.521848,0.22,0.18,1.042848,13.793,1.666666666666667,0.08333333333333333,0.07,1.04,0.67,0.07,1.117152,BRA2,Testing,2024,0.7762854538814502,0.7506274202467578,0.7854544529542032
17,Rodolfo,Grêmio Novorizontino,Grêmio Novorizontino,CF,CF,12,32,600000,2024-11-30,26,1633,Brazil,Brazil,right,175,75,no,3.25134,1.655688,0.33,0.38,0.605055,13.158,0.736842105263158,0.1818181818181818,0.05,0.55,0.55,0.17,0.882336,BRA2,Testing,2024,0.7386062552591768,0.7611749086687137,0.7714977151768303
18,Luan Silva,Amazonas,Amazonas,CF,CF,12,32,150000,2024-12-31,13,873,Brazil,Brazil,,0,0,no,1.649453,0.516708,0.0,0.38,1.031548,26.316,1.368421052631579,0.1938775510204082,0.03,0.41,0.21,0.31,0.206677,BRA2,Testing,2024,0.8040058139449162,0.7860871349523434,0.8179547166602544
19,Hygor,Avaí,Avaí,"CF, RW",CF,12,32,150000,2025-12-31,20,1256,Brazil,Brazil,right,186,78,no,2.579312,0.86,0.14,0.43,0.71811,18.182,0.6744186046511628,0.2721518987341772,0.04,0.43,0.43,0.29,0.216,BRA2,Testing,2024,0.749431636231707,0.7756650937000041,0.7845202159256762
20,Salatiel,Ituano,Ituano,CF,CF,12,32,250000,2024-11-30,16,796,Brazil,Brazil,right,187,76,no,3.053352,0.9035519999999999,0.45,0.2,0.1125,12.5,0.5499999999999999,0.2222222222222222,0.24,1.13,0.57,0.34,0.452,BRA2,Testing,2024,0.7275254492216133,0.699714754807302,0.7341821479695306
21,Osman,Brusque,Brusque,"CF, LW",CF,12,31,200000,2025-11-30,18,733,Brazil,Brazil,right,179,72,no,1.965337,0.49232,0.0,0.17,0.4908600000000001,0.0,0.0,0.1259259259259259,0.05,0.25,0.25,0.12,0.122894,BRA2,Testing,2024,0.0,0.0,0.0
22,Caio Dantas,Guarani,Guarani,CF,CF,12,31,300000,2024-12-31,31,2718,Brazil,Brazil,right,177,72,no,4.173222000000001,1.15855,0.07,0.37,0.729066,21.569,0.9729729729729729,0.2189349112426036,0.03,0.7,0.43,0.1,0.365,BRA2,Testing,2024,0.8188369175381642,0.8115408767771838,0.8386775173886687
23,F. Barceló,Ceará,Ceará,CF,CF,12,31,600000,2024-12-31,23,972,Uruguay,"Uruguay, Italy",right,180,75,no,0.8326109999999999,0.185705,0.19,0.3,0.833712,26.316,1.533333333333333,0.1704545454545454,0.0,0.09,0.09,0.0,0.185705,BRA2,Testing,2024,0.7277732814102305,0.7266091381869992,0.7481442897802397
24,Zé Roberto,Sport Recife,Sport Recife,"CF, AMF",CF,12,31,1000000,2024-12-31,27,1315,Brazil,Brazil,right,184,85,no,4.652431999999999,1.85,0.0,0.33,0.819324,24.138,1.454545454545454,0.1666666666666667,0.1,0.55,1.78,0.55,1.1628,BRA2,Testing,2024,0.9371105904510786,0.9956940860032248,0.9942479793934008
