Atleta,Equipe,Código_Posição_Wyscout,Pé,Liga,Versão_Temporada,Posição,Posição2
Caíque França,Sport Recife,0,left,BRA2,2024,Goleiro,Goleiro
Marcinho,Chapecoense,10,right,BRA2,2024,Extremo,Extremo
Leandro Vilela,Paysandu,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Mateus Silva,Ponte Preta,4,right,BRA2,2024,Zagueiro,Zagueiro
Elias,América Mineiro,0,right,BRA2,2024,Goleiro,Goleiro
Lucas Hipólito,Operário PR,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Ianson,Brusque,4,right,BRA2,2024,Zagueiro,Zagueiro
Lucas Dias,Muharraq,4,right,BRA2,2024,Zagueiro,Zagueiro
Alex Sandro,Botafogo SP,12,left,BRA2,2024,Atacante,Atacante
Pará,Operário PR,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Mário Sérgio,Chapecoense,12,left,BRA2,2024,Atacante,Atacante
Renan Castro,Amazonas,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Victor Andrade,Botafogo SP,10,right,BRA2,2024,Extremo,Extremo
Hayner,Santos,1,right,BRA2,2024,Lateral Direito,Lateral
Dieguinho,Goiás,1,right,BRA2,2024,Lateral Direito,Lateral
G. Risso,Ponte Preta,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Willian Maranhão,Avaí,8,left,BRA2,2024,Segundo Volante,Segundo Volante
Benevenuto,Coritiba,4,right,BRA2,2024,Zagueiro,Zagueiro
Rômulo,CRB,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Erick Varão,Amazonas,8,right,BRA2,2024,Segundo Volante,Segundo Volante
F. Labandeira,CRB,10,right,BRA2,2024,Extremo,Extremo
Matheus Trindade,Paysandu,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Boschilia,Operário PR,8,left,BRA2,2024,Segundo Volante,Segundo Volante
Zé Ricardo,Avaí,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Lucão,América Mineiro,4,right,BRA2,2024,Zagueiro,Zagueiro
Y. Quintana,Paysandu,4,right,BRA2,2024,Zagueiro,Zagueiro
Marcinho,Ituano,1,right,BRA2,2024,Lateral Direito,Lateral
Bruno Leonardo,Chapecoense,4,right,BRA2,2024,Zagueiro,Zagueiro
S. Gómez,Coritiba,8,left,BRA2,2024,Segundo Volante,Segundo Volante
Gustavo Bochecha,Botafogo SP,8,left,BRA2,2024,Segundo Volante,Segundo Volante
Bryan,Paysandu,1,right,BRA2,2024,Lateral Direito,Lateral
Sávio,Operário PR,1,right,BRA2,2024,Lateral Direito,Lateral
Neto Moura,Mirassol,7,right,BRA2,2024,Primeiro Volante,Primeiro Volante
Fabio Alemão,CRB,4,right,BRA2,2024,Zagueiro,Zagueiro
Willian Machado,Operário PR,4,left,BRA2,2024,Zagueiro,Zagueiro
Bruno Xavier,Ituano,11,right,BRA2,2024,Extremo,Extremo
Jefferson,Guarani,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Eduardo,Grêmio Novorizontino,8,right,BRA2,2024,Segundo Volante,Segundo Volante
Felipinho,Sport Recife,1,left,BRA2,2024,Lateral Esquerdo,Lateral
Dalberson,América Mineiro,0,left,BRA2,2024,Goleiro,Goleiro
Eduardo Person,Ituano,12,right,BRA2,2024,Atacante,Atacante
A. González,Brusque,12,left,BRA2,2024,Atacante,Atacante
