Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
58,Patrick,Grêmio Novorizontino,Grêmio Novorizontino,LCB,LCB,4,25,0,,22,1932,Brazil,Brazil,left,183,79,yes,10.3,5.080077999999999,4.189418000000001,2.79476,10.759306,4.982497,1.258595,0.515221,0.61,3.446720999999999,BRA2,Testing,2024,0.945886670974644,0.9578416552850948,0.9518641631298694
59,Ericson,Botafogo SP,Botafogo SP,"LCB, RB, CB",LCB,4,25,50000,2025-12-10,12,909,Brazil,Brazil,right,184,84,no,10.59,5.842243,1.783785,2.967885000000001,13.367445,6.139228999999999,1.387766,0.7946169999999999,0.4,4.160941999999999,BRA2,Testing,2024,0.931623895908741,0.9357610255982456,0.9336924607534933
60,Lucas Gazal,Mirassol,Mirassol,RCB,RCB,4,25,550000,2025-12-31,20,1222,Brazil,Brazil,right,187,86,yes,7.07,1.623258,3.385909,3.53484,13.77334,7.442821000000001,0.222872,0.07332599999999999,2.28,5.5242,BRA2,Testing,2024,0.8145334785461495,0.805605855302977,0.8100696669245634
61,Gustavo Henrique,CRB,CRB,"RCB, LCB",RCB,4,25,50000,2024-12-31,19,1437,Brazil,Brazil,right,192,88,yes,8.39,2.942128,2.633465,2.881415,15.657402,5.951322,0.69,0.253346,0.75,4.45056,BRA2,Testing,2024,0.7975823190316352,0.795733324548781,0.7966578217902083
62,Jair,Santos U20,Santos,RCB,RCB,4,19,0,,20,1909,Brazil,Brazil,right,198,81,no,6.55,2.780375,2.784180000000001,2.450058,15.131555,6.03729,0.7513559999999999,0.285,1.51,3.771306,BRA2,Testing,2024,0.7531067290495248,0.7116633887967405,0.7323850589231328
63,Luisão,Grêmio Novorizontino U20,Grêmio Novorizontino,RCB,RCB,4,21,0,,30,2774,Brazil,Brazil,right,192,74,no,9.99,5.323543999999999,2.529052000000001,3.6972,13.43251,7.203355,0.8421480000000001,0.3235100000000001,1.07,4.150952,BRA2,Testing,2024,1.0,1.0,1.0
64,David Ricardo,Ceará,Ceará,LCB,LCB,4,21,0,,29,2824,Brazil,Brazil,left,188,78,no,7.81,4.1097,3.662075,3.4416,13.097568,6.472312,0.988481,0.15625,1.37,4.78186,BRA2,Testing,2024,0.9797454509795825,0.9475923069052066,0.9636688789423946
65,Thalisson,Coritiba,Coritiba,RCB,RCB,4,22,300000,2025-12-31,11,833,Brazil,Brazil,right,190,79,no,6.59,2.69895,2.376108,1.08171,9.182960000000001,2.482637,0.3233009999999999,0.3240000000000001,0.86,1.08,BRA2,Testing,2024,0.2601350024808255,0.2281484527788237,0.2441417276298246
66,Habraão,Santa Clara,Chapecoense,LCB,LCB,4,23,0,,11,1041,Brazil,Brazil,right,187,80,yes,8.9,2.9376,3.285452,1.384,8.303075999999999,2.682736,1.38187,0.688,0.69,1.988292,BRA2,Testing,2024,0.595793503847617,0.5585234427234205,0.5771584732855188
67,Carlão,Paysandu,Paysandu,"RCB, LCB",RCB,4,23,100000,2024-12-31,8,731,Brazil,Brazil,right,186,80,no,8.37,3.448224,2.711349,1.725112,13.7907,4.309964,2.709252,0.982808,0.86,3.81552,BRA2,Testing,2024,0.7754945519250479,0.7275413955412373,0.7515179737331428
68,A. Alvariño,Amazonas,Amazonas,"RCB, LCB",RCB,4,23,350000,2025-12-31,27,2597,Argentina,Argentina,right,182,81,yes,6.58,2.21795,1.283904,4.645036000000001,13.483506,6.722301000000001,0.24344,0.06999299999999999,1.07,3.774853999999999,BRA2,Testing,2024,0.6399380499044223,0.6099188028001075,0.624928426352265
69,Lucas Adell,Guarani,Guarani,LCB,LCB,4,24,0,,13,1209,Brazil,Brazil,left,188,70,no,7.89,3.054188,2.604382,2.309355,13.69812,4.61646,0.672338,0.15,0.89,3.203649,BRA2,Testing,2024,0.672771978289545,0.6444212980886188,0.658596638189082
70,Vilar,Avaí,Avaí,"LCB, RCB",LCB,4,24,0,,24,2382,Brazil,Brazil,right,190,89,yes,7.78,3.663842,3.172842000000001,2.264695,11.034224,4.121865,0.5302500000000001,0.075,0.49,2.985157,BRA2,Testing,2024,0.7708334454834178,0.6987542412756926,0.7347938433795553
71,Jemmes,Vila Nova,Vila Nova,"LCB, RCB",LCB,4,24,0,,32,3030,Brazil,Brazil,right,187,73,no,8.32,3.355572,2.760728,1.694784,11.90896,4.398984,0.623208,0.329994,0.68,3.269756,BRA2,Testing,2024,0.7502078615552953,0.6814643029063279,0.7158360822308116
72,Miranda,Amazonas,Amazonas,"RCB, LCB",RCB,4,24,600000,2024-12-31,24,2396,Brazil,Brazil,right,181,73,yes,9.73,4.470359,2.142469,3.155856,17.0562,7.473519,0.6388480000000001,0.148564,0.98,4.322080000000001,BRA2,Testing,2024,0.9487096729456025,0.9461876217043705,0.9474486473249866
73,Guilherme Mariano,Ituano,Ituano,RCB,RCB,4,24,0,,17,1724,Brazil,Brazil,,0,0,yes,10.13,4.648409999999999,2.505,1.616954,8.614144,2.86829,0.575169,0.206677,1.25,1.14944,BRA2,Testing,2024,0.6275103124688146,0.5950933498423352,0.6113018311555749
