Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Juninho,América Mineiro,América Mineiro,"RCMF, AMF",RCMF,8,37,250000,2024-12-31,33,3092,Brazil,Brazil,right,170,66,no,5.12,0.6409220000000001,2.938878,2.39,0.322178,0.52,0.11,0.07,0.82,3.49245,0.84,0.26,0.9324840000000001,BRA2,Testing,2024,0.1819438755508489,0.2605757357722805,0.2212598056615647
1,Geovane,Grêmio Novorizontino,Grêmio Novorizontino,"LCMF, RCMF",LCMF,8,35,300000,2024-12-15,24,1590,Brazil,Brazil,right,179,80,no,6.62,2.604504,4.814063999999999,0.57,0.451406,0.06,0.03,0.06,0.62,4.757766,0.06,0.23,0.225432,BRA2,Testing,2024,0.4254607993510895,0.433160183831638,0.4293104915913637
2,Willian Farias,Grêmio Novorizontino,Grêmio Novorizontino,"LCMF, RCMF",LCMF,8,35,200000,2024-12-31,23,1266,Brazil,"Brazil, Italy",right,177,82,no,6.11,2.418551,4.196549999999999,0.07,0.2125,0.36,0.03,0.02,0.85,4.480875,0.57,0.0,0.568,BRA2,Testing,2024,0.3718935185529959,0.3705239147895523,0.3712087166712741
3,Rodrigo Lindoso,Operário PR,Operário PR,"LCMF, DMF, RCMF",LCMF,8,35,200000,2024-12-31,15,970,Brazil,Brazil,right,182,79,no,6.87,3.431615,3.989462999999999,0.28,0.368,0.84,0.01,0.01,0.37,4.914359999999999,0.19,0.09,0.46359,BRA2,Testing,2024,0.3468591518811281,0.3658611984583653,0.3563601751697467
4,Marlon,Grêmio Novorizontino,Grêmio Novorizontino,LCMF,LCMF,8,34,300000,2024-12-31,31,2480,Brazil,Brazil,right,175,76,no,5.88,1.632,3.227791,0.69,0.470352,0.58,0.1,0.07,0.58,3.01252,0.51,0.04,0.8,BRA2,Testing,2024,0.2021906187375913,0.2192353507241824,0.2107129847308868
5,Camacho,Guarani,Guarani,"LCMF, LDMF, RCMF",LCMF,8,34,300000,2024-11-30,10,790,Brazil,Brazil,right,181,73,no,7.97,2.621829,5.012766,1.03,0.5714400000000001,1.03,0.02,0.03,0.68,6.376,0.68,0.34,1.138118,BRA2,Testing,2024,0.6901375554383856,0.7129053397659002,0.701521447602143
6,Marcão,Goiás,Goiás,"RCMF, LCMF, LDMF",RCMF,8,33,200000,2024-11-30,30,2659,Brazil,Brazil,right,183,80,no,6.79,0.9486100000000001,1.725543,1.16,0.42354,0.28,0.14,0.01,0.25,2.42352,0.07,0.04,0.035725,BRA2,Testing,2024,0.0,0.0,0.0
7,Filipe Soutto,Botafogo SP,Botafogo SP,"LCMF, DMF",LCMF,8,33,50000,2024-12-10,19,730,Brazil,Brazil,left,178,70,no,8.14,1.356642,4.683986999999999,0.37,0.1225,0.12,0.06,0.04,0.86,4.311813,0.37,0.0,0.369963,BRA2,Testing,2024,0.4466514630522329,0.4479251338979083,0.4472882984750706
8,F. Elizari,América Mineiro,América Mineiro,"LCMF, LDMF",LCMF,8,33,350000,2025-12-31,15,1071,Argentina,Argentina,right,173,72,no,3.11,0.757042,4.537909999999999,1.85,1.2625,1.18,0.13,0.1,1.18,4.116168,1.76,0.42,1.849375,BRA2,Testing,2024,0.5199677829568502,0.5352818102455168,0.5276247966011836
9,Richardson,Ceará,Ceará,"RCMF, LDMF, DMF",RCMF,8,33,300000,2024-12-31,21,1294,Brazil,Brazil,right,174,74,no,7.58,2.154639,5.07654,0.77,1.042878,1.67,0.06,0.03,0.63,6.539676000000001,0.42,0.14,0.555852,BRA2,Testing,2024,0.6994346163305243,0.6841975014209447,0.6918160588757345
10,Igor Henrique,Vila Nova,Vila Nova,"RCMF, AMF, CF",RCMF,8,32,200000,2025-12-31,23,1837,Brazil,Brazil,right,183,74,no,5.98,1.32,3.86928,1.81,0.9309999999999999,1.22,0.09,0.06,0.39,3.7255,0.88,0.34,0.8305469999999999,BRA2,Testing,2024,0.4074769862330624,0.4113171868844429,0.4093970865587526
