Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
10,Fábio Sanches,Botafogo SP,Botafogo SP,"CB, RCB",CB,4,33,250000,2024-11-30,21,1777,Brazil,Brazil,right,186,85,no,6.94,2.129352,1.77415,0.51,5.63,1.267554,6.481523999999999,1.466847,12.260541,0.204424,0.0,0.05,0.403596,BRA2,Testing,2024,0.0,0.0,0.0
11,Wanderson,CRB,CRB,"LCB, RCB",LCB,4,33,250000,2024-12-31,11,723,Brazil,Brazil,right,186,83,no,8.59,3.737106,3.363917,1.37,7.7,1.61559,11.452536,3.3615,23.7778,0.4977280000000001,0.123321,0.87,2.616948,BRA2,Testing,2024,0.6696826793985504,0.6674579083205241,0.6685702938595373
12,Saimon,CRB,CRB,RCB,RCB,4,33,150000,2024-12-31,20,1965,Brazil,Brazil,right,185,79,no,7.33,2.837912,3.023109,0.46,6.17,4.857354000000001,17.1315,9.205326,19.375812,0.455592,0.14,1.01,6.272238000000001,BRA2,Testing,2024,0.7827068801665842,0.7545087430348724,0.7686078116007282
13,Joílson,Ponte Preta,Ponte Preta,"RCB, LCB",RCB,4,33,0,2024-12-31,15,1417,Brazil,Brazil,right,188,78,yes,8.84,4.1225,1.727544,0.8,6.3,3.188443,10.703,4.851994,16.42004,0.2025,0.07,0.33,2.527408,BRA2,Testing,2024,0.6672086936575359,0.65520548033726,0.6612070869973979
14,Edson Felipe,Goiás,Goiás,LCB,LCB,4,33,300000,2024-12-31,25,1849,Brazil,Brazil,right,183,75,no,7.45,2.579616,1.851824,0.68,6.14,2.0463,12.89618,5.547999999999999,18.012924,0.683895,0.0,0.49,4.283797,BRA2,Testing,2024,0.5920376595942429,0.5482434141733651,0.570140536883804
15,Renato Palm,Grêmio Novorizontino,Grêmio Novorizontino,"CB, LCB, RCB",CB,4,33,300000,2024-11-30,20,1657,Brazil,Brazil,right,190,89,no,9.61,3.91041,3.96264,0.6,6.59,3.58302,12.058947,5.702279999999999,12.87649,0.435,0.216,0.22,2.935352,BRA2,Testing,2024,0.8199825340209981,0.7949262377091919,0.807454385865095
16,Maurício Antônio,Coritiba,Coritiba,"RCB, CB, LCB",RCB,4,32,300000,2025-12-31,25,2110,Brazil,"Brazil, Portugal",right,183,82,no,9.3,4.227019,2.51902,0.85,6.73,4.480614,14.669976,6.737511999999999,22.64553,0.25716,0.08667100000000001,0.55,3.751374,BRA2,Testing,2024,0.8975363654890197,0.8942308427973703,0.895883604143195
17,Ricardo Silva,América Mineiro,América Mineiro,RCB,RCB,4,32,300000,2024-12-31,29,2890,Brazil,Brazil,right,190,84,no,8.07,4.108338000000001,3.144557,0.47,5.4,2.492945,13.698932,4.547886,25.22826,0.625,0.096,0.06,2.61408,BRA2,Testing,2024,0.651583463374095,0.6205588135151281,0.6360711384446116
18,Luiz Otávio,Mirassol,Mirassol,LCB,LCB,4,32,900000,2024-11-30,28,2737,Brazil,Brazil,right,194,85,no,7.61,2.015216000000001,3.1365,0.55,7.16,4.197310000000001,14.123,6.245154,23.91454,0.204682,0.0,0.61,3.685014000000001,BRA2,Testing,2024,0.7384132762743464,0.7008426506504913,0.7196279634624189
19,Sérgio Raphael,Ponte Preta,Ponte Preta,LCB,LCB,4,32,0,2024-12-31,22,1989,Brazil,Brazil,right,188,84,no,8.82,3.52659,2.219525,0.86,6.38,3.34862,12.531596,4.300065,18.054762,0.768112,0.4091,0.36,1.58253,BRA2,Testing,2024,0.6830320814288396,0.6527002160267291,0.6678661487277844
